material,gLen_µm,freq_Ghz,gain_dB,noise_dB,Pdc_mW,bandwidth_GHz,lna_arch
GaAs ,0.1,33,23,2.4,140,14,5stage
InP ,0.07,130,13,5,70,40,3stage
GaAs ,0.15,2.15,24.5,0.6,50,0.7,3stage
GaAs ,0.1,24,17.5,1.8,100,12,4stage
GaAs ,0.15,0.9,26,0.5,35,0.2,2stage
GaAs ,0.1,55,12,4.25,null,30,Distributed
GaAs ,0.13,12,17,1.7,110,12,Distributed
GaAs ,0.1,50,18,3,80,8,3stage
GaAs ,0.15,25.5,16,2.1,88,7,3stage
InP ,0.1,92.5,16,3.2,95,35,4stage
GaAs ,0.1,18,15.5,2,125,12,3stage
GaAs ,0.15,6.85,18,1.5,48,7.5,UWB
GaAs ,0.13,2.4,22,0.7,58,null,2stage
GaAs ,0.1,50,14,3.5,105,16,3stage
GaAs ,0.1,12,14,3,170,20,Distributed
GaAs ,0.15,20,15,2.15,92,10,3stage
GaAs ,0.1,70,14.5,4.2,110,20,4stage
GaAs ,0.13,13,18,1.3,78,10,3stage
GaAs ,0.1,37.5,16,2.5,130,15,4stage
